Year,Month,Int_Pax
2003,1,4.90583
2003,2,4.245366
2003,3,5.008613
2003,4,4.345444
2003,5,4.610834
2003,6,5.411504
2003,7,6.19112
2003,8,6.272332
2003,9,4.824596
2003,10,4.920822
2003,11,4.845759
2003,12,5.358991
2004,1,5.255246
2004,2,4.941629
2004,3,5.805703
2004,4,5.664027
2004,5,5.767517
2004,6,6.405771
2004,7,7.183275
2004,8,6.986797
2004,9,5.396245
2004,10,5.629964
2004,11,5.384214
2004,12,6.041853
2005,1,6.158509
2005,2,5.49959
2005,3,6.964313
2005,4,6.388741
2005,5,6.575254
2005,6,7.123126
2005,7,7.867346
2005,8,7.419187
2005,9,5.933841
2005,10,5.873755
2005,11,5.644497
2005,12,6.395022
2006,1,6.402933
2006,2,5.706909
2006,3,7.221839
2006,4,7.036629
2006,5,6.997054
2006,6,7.625061
2006,7,8.340003
2006,8,7.843848
2006,9,6.189973
2006,10,6.281017
2006,11,6.173261
2006,12,6.917055
2007,1,6.854636
2007,2,6.078593
2007,3,7.64751
2007,4,7.233785
2007,5,7.244944
2007,6,7.953495
2007,7,8.696119
2007,8,8.429481
2007,9,6.665909
2007,10,6.734727
2007,11,6.616131
2007,12,7.302494
2008,1,7.214702
2008,2,6.691283
2008,3,8.257253
2008,4,7.361463
2008,5,7.747506
2008,6,8.168145
2008,7,8.831861
2008,8,8.629543
2008,9,6.327854
2008,10,6.473043
2008,11,6.167102
2008,12,6.881238
2009,1,6.73773
2009,2,5.970396
2009,3,7.227487
2009,4,7.086357
2009,5,6.597012
2009,6,7.460171
2009,7,8.399115
2009,8,8.217868
2009,9,6.219954
2009,10,6.295084
2009,11,6.008261
2009,12,6.892742
2010,1,6.816044
2010,2,6.014415
2010,3,7.531317
2010,4,6.941422
2010,5,7.402599
2010,6,8.100494
2010,7,9.052302
2010,8,8.646519
2010,9,6.847457
2010,10,7.072483
2010,11,6.510189
2010,12,7.271391
2011,1,7.155472
2011,2,6.205658
2011,3,7.733473
2011,4,7.495073
2011,5,7.67195
2011,6,8.256632
2011,7,9.384241
2011,8,8.677482
2011,9,6.893283
2011,10,6.884408
2011,11,6.43188
2011,12,7.331513
2012,1,7.155733
2012,2,6.518477
2012,3,8.05996
2012,4,7.608446
2012,5,7.728905
2012,6,8.509172
2012,7,9.298946
2012,8,8.892354
2012,9,7.098414
2012,10,6.952685
2012,11,6.710058
2012,12,7.500932
2013,1,7.33142
2013,2,6.564112
2013,3,8.327386
2013,4,7.56233
2013,5,8.02342
2013,6,8.883643
2013,7,9.709009
2013,8,9.403309
2013,9,7.255037
2013,10,7.274427
2013,11,6.880849
2013,12,7.967171
2014,1,7.671576
2014,2,6.770046
2014,3,8.503133
2014,4,8.094515
2014,5,8.479378
2014,6,9.196927
2014,7,9.988913
2014,8,9.629317
2014,9,7.342936
2014,10,7.286846
2014,11,7.049844
2014,12,8.165573
2015,1,7.936993
2015,2,6.886262
2015,3,8.524515
2015,4,8.119223
2015,5,8.567847
2015,6,9.352818
2015,7,10.39527
2015,8,9.981208
2015,9,7.656359
2015,10,7.739519
2015,11,7.332481
2015,12,8.41086
2016,1,8.220234
2016,2,7.276912
2016,3,8.846249
2016,4,8.236909
2016,5,8.658474
2016,6,9.649641
2016,7,10.65175
2016,8,9.851036
2016,9,7.767077
2016,10,7.745955
2016,11,7.259192
2016,12,8.735834
2017,1,8.451833
2017,2,7.243348
2017,3,8.934658
2017,4,9.097723
2017,5,9.178905
2017,6,10.211356
2017,7,11.190376
2017,8,10.384018
2017,9,7.726792
2017,10,8.030539
2017,11,7.678861
2017,12,8.913285
2018,1,8.559733
2018,2,7.596937
2018,3,9.603829
2018,4,9.035586
2018,5,9.416071
2018,6,10.569323
2018,7,11.391458
2018,8,10.62472
2018,9,8.208432
2018,10,8.399032
2018,11,8.052683
2018,12,9.209221
2019,1,8.956997
2019,2,7.872131
2019,3,9.948135
2019,4,9.461086
2019,5,9.952955
2019,6,11.01868
2019,7,11.644596
2019,8,11.035622
2019,9,8.589987
2019,10,8.6783
2019,11,8.24063
2019,12,9.566028
2020,1,9.144821
2020,2,7.945094
2020,3,4.645178
2020,4,0.136609
2020,5,0.190629
2020,6,0.403702
2020,7,1.132104
2020,8,1.399827
2020,9,1.413585
2020,10,1.982866
2020,11,2.463575
2020,12,3.269403
2021,1,2.986261
2021,2,2.121336
2021,3,3.453943
2021,4,3.998149
2021,5,4.941591
2021,6,6.035931
2021,7,7.033399
2021,8,6.35707
2021,9,4.843245
2021,10,5.360481
2021,11,5.998703
2021,12,7.093846
2022,1,6.048973
2022,2,5.725939
2022,3,7.872874
2022,4,8.398121
2022,5,8.815732
2022,6,10.023468
2022,7,10.943155
2022,8,10.115929
2022,9,8.287331
2022,10,8.414518
2022,11,8.216914
2022,12,9.405384
2023,1,9.066833
2023,2,8.066893
2023,3,10.094584
2023,4,10.008645
2023,5,10.358666
2023,6,11.544505
2023,7,12.432615
2023,8,11.572149
2023,9,9.392985
